country,state,date,label,value
1,11,2014-01-01,Emissão de CH4,770.5990919264232
1,11,2014-01-01,Emissão de N2O,16.104927679098708
1,11,2015-01-01,Emissão de CO2e,22357.57911554801
1,11,2015-01-01,Emissão de CO2,61.622282313768004
1,11,2015-01-01,Emissão de CH4,813.3173842530583
1,11,2015-01-01,Emissão de N2O,16.826747625548446
1,11,2016-01-01,Emissão de CO2e,22823.462856283113
1,11,2016-01-01,Emissão de CO2,102.87035935043852
1,11,2016-01-01,Emissão de CH4,829.5107911576089
1,11,2016-01-01,Emissão de N2O,17.099567363299627
1,12,1990-01-01,Emissão de CO2e,872.0496988304033
1,12,1990-01-01,Emissão de CO2,0.6957219368223128
1,12,1990-01-01,Emissão de CH4,29.83048742058189
1,12,1990-01-01,Emissão de N2O,0.7900443260043912
1,12,1991-01-01,Emissão de CO2e,885.6048768387243
1,12,1991-01-01,Emissão de CO2,0.8587241229238166
1,12,1991-01-01,Emissão de CH4,30.25358515123357
1,12,1991-01-01,Emissão de N2O,0.804583433999663
1,12,1992-01-01,Emissão de CO2e,896.1876995479415
1,12,1992-01-01,Emissão de CO2,1.417699695240903
1,12,1992-01-01,Emissão de CH4,30.670843093011456
1,12,1992-01-01,Emissão de N2O,0.8086525641918068
1,12,1993-01-01,Emissão de CO2e,981.5785994222811
1,12,1993-01-01,Emissão de CO2,0.2793259057890017
1,12,1993-01-01,Emissão de CH4,33.59925899383887
1,12,1993-01-01,Emissão de N2O,0.8894026924060502
1,12,1994-01-01,Emissão de CO2e,1019.8409363155661
1,12,1994-01-01,Emissão de CO2,0.5877206113932087
1,12,1994-01-01,Emissão de CH4,35.1157128655183
1,12,1994-01-01,Emissão de N2O,0.9091072436396408
1,12,1995-01-01,Emissão de CO2e,1030.7824927357747
1,12,1995-01-01,Emissão de CO2,0.9792960191146013
1,12,1995-01-01,Emissão de CH4,35.5945838463553
1,12,1995-01-01,Emissão de N2O,0.9106997933651578
1,12,1996-01-01,Emissão de CO2e,1595.290346742533
1,12,1996-01-01,Emissão de CO2,0.7996614860253661
1,12,1996-01-01,Emissão de CH4,57.931541745114586
1,12,1996-01-01,Emissão de N2O,1.2191235761583912
1,12,1997-01-01,Emissão de CO2e,1616.8135907626072
1,12,1997-01-01,Emissão de CO2,1.1642063415167778
1,12,1997-01-01,Emissão de CH4,58.503131353220034
1,12,1997-01-01,Emissão de N2O,1.2486568580757085
1,12,1998-01-01,Emissão de CO2e,1703.6817050819013
1,12,1998-01-01,Emissão de CO2,1.02697876305795
1,12,1998-01-01,Emissão de CH4,61.56809561763627
1,12,1998-01-01,Emissão de N2O,1.321692639833812
1,12,1999-01-01,Emissão de CO2e,1769.5439268136618
1,12,1999-01-01,Emissão de CO2,1.6327054914317007
1,12,1999-01-01,Emissão de CH4,63.674901130213215
1,12,1999-01-01,Emissão de N2O,1.3894783793153305
1,12,2000-01-01,Emissão de CO2e,1945.4910746520281
1,12,2000-01-01,Emissão de CO2,2.4468893933903053
1,12,2000-01-01,Emissão de CH4,70.12881119467845
1,12,2000-01-01,Emissão de N2O,1.5172230650657754
1,12,2001-01-01,Emissão de CO2e,3045.008318332626
1,12,2001-01-01,Emissão de CO2,2.325108968272994
1,12,2001-01-01,Emissão de CH4,112.67023649532109
1,12,2001-01-01,Emissão de N2O,2.182607235363258
1,12,2002-01-01,Emissão de CO2e,3214.070179371115
1,12,2002-01-01,Emissão de CO2,3.0203043062617057
1,12,2002-01-01,Emissão de CH4,117.92763297716334
1,12,2002-01-01,Emissão de N2O,2.369579298530397
1,12,2003-01-01,Emissão de CO2e,3326.0010182112896
1,12,2003-01-01,Emissão de CO2,4.400931894730663
1,12,2003-01-01,Emissão de CH4,121.61389980229491
1,12,2003-01-01,Emissão de N2O,2.476478033768923
1,12,2004-01-01,Emissão de CO2e,3626.260280526297
1,12,2004-01-01,Emissão de CO2,3.2455171231375526
1,12,2004-01-01,Emissão de CH4,132.87806722953255
1,12,2004-01-01,Emissão de N2O,2.685726940590244
1,12,2005-01-01,Emissão de CO2e,3979.4580318954695
1,12,2005-01-01,Emissão de CO2,11.90684744584998
1,12,2005-01-01,Emissão de CH4,146.33701204712528
1,12,2005-01-01,Emissão de N2O,2.8853997789031904
1,12,2006-01-01,Emissão de CO2e,4233.910821513287
1,12,2006-01-01,Emissão de CO2,9.699073112284564
1,12,2006-01-01,Emissão de CH4,155.95744898985285
1,12,2006-01-01,Emissão de N2O,3.061630063271267
1,12,2007-01-01,Emissão de CO2e,3923.089037695106
1,12,2007-01-01,Emissão de CO2,15.701770335132881
1,12,2007-01-01,Emissão de CH4,142.79434255017725
1,12,2007-01-01,Emissão de N2O,2.9313099155040354
1,12,2008-01-01,Emissão de CO2e,4111.270499980856
1,12,2008-01-01,Emissão de CO2,16.464061857303474
1,12,2008-01-01,Emissão de CH4,149.90419915490853
1,12,2008-01-01,Emissão de N2O,3.05425243829185
1,12,2009-01-01,Emissão de CO2e,4227.233690848394
1,12,2009-01-01,Emissão de CO2,6.075321166358365
1,12,2009-01-01,Emissão de CH4,155.74858149166116
1,12,2009-01-01,Emissão de N2O,3.0659295430875857
1,12,2010-01-01,Emissão de CO2e,4361.173372074706
1,12,2010-01-01,Emissão de CO2,17.61895232127731
1,12,2010-01-01,Emissão de CH4,160.23301156079577
1,12,2010-01-01,Emissão de N2O,3.156971538634571
1,12,2011-01-01,Emissão de CO2e,4189.200610370391
1,12,2011-01-01,Emissão de CO2,29.88574866325685
1,12,2011-01-01,Emissão de CH4,152.31909133943134
1,12,2011-01-01,Emissão de N2O,3.0987546567066944
1,12,2012-01-01,Emissão de CO2e,4388.148261052597
1,12,2012-01-01,Emissão de CO2,46.98819455179982
1,12,2012-01-01,Emissão de CH4,159.38761679417567
1,12,2012-01-01,Emissão de N2O,3.206516496203575
1,12,2013-01-01,Emissão de CO2e,4455.537984376359
1,12,2013-01-01,Emissão de CO2,31.42358008871025
1,12,2013-01-01,Emissão de CH4,162.45797908403915
1,12,2013-01-01,Emissão de N2O,3.266118850073636
1,12,2014-01-01,Emissão de CO2e,4623.31895033455
1,12,2014-01-01,Emissão de CO2,32.72046100628336
1,12,2014-01-01,Emissão de CH4,168.6979002135734
1,12,2014-01-01,Emissão de N2O,3.38045995110718
1,12,2015-01-01,Emissão de CO2e,4830.109601196333
1,12,2015-01-01,Emissão de CO2,10.381343395733058
1,12,2015-01-01,Emissão de CH4,177.46404191053855
1,12,2015-01-01,Emissão de N2O,3.525752831223515
1,12,2016-01-01,Emissão de CO2e,4968.749601534372
1,12,2016-01-01,Emissão de CO2,16.026923862424464
1,12,2016-01-01,Emissão de CH4,182.3980667449983
1,12,2016-01-01,Emissão de N2O,3.6205266968612357
1,13,1990-01-01,Emissão de CO2e,1420.2963694402167
1,13,1990-01-01,Emissão de CO2,0.46936993530751214
1,13,1990-01-01,Emissão de CH4,49.3544284143219
1,13,1990-01-01,Emissão de N2O,1.2367225896908043
1,13,1991-01-01,Emissão de CO2e,1442.366420736279
1,13,1991-01-01,Emissão de CO2,0.39244076347232865
1,13,1991-01-01,Emissão de CH4,50.2486165726231
